,websitename,subcategory,productname,price,description,sizes,color,imgs
0,https://www.adidas.com/us/men,MEN'S NEW ARRIVALS,null,null,null,,null,
1,https://www.adidas.com/us/men,MEN'S NEW ARRIVALS,TERREX MYSHELTER SNOW 2-LAYER INSULATED JACKET,$350 ,"The Terrex MYSHELTER Snow 2-Layer jacket combines functionality and style for distraction-free fun on the slopes this ski season. 
 
The PrimaLoft Insulation x Parley Ocean Plastic keeps you warm on even the coldest of days, while the RAIN.RDY materials help to shield against wind and snow. The fully adjustable, helmet-compatible hood allows for extra coverage when you need it. 
 
The under-arm ventilation zips help cool you down when things heat up, while multiple pockets—including a forearm pass pocket—keep your valuables safe and easily accessible. The elastic, stretchy powder skirt also helps to keep you dry on the hill.","S,M,L,XL,2XL",Orbit Violet / Legend Ink,"https://assets.adidas.com/images/w_600,f_auto,q_auto/1f19798db5324cfda500adbb008d8edc_9366/Terrex_MYSHELTER_Snow_2-Layer_Insulated_Jacket_Purple_GV4023_HM30.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/7fa2e9bf546d4ba7bb22adb200bf4d07_9366/Terrex_MYSHELTER_Snow_2-Layer_Insulated_Jacket_Purple_GV4023_HM1.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/9ab8e84b50da437ebf90adb200bf9b79_9366/Terrex_MYSHELTER_Snow_2-Layer_Insulated_Jacket_Purple_GV4023_HM3_hover.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/84b235cddacb4aa38a94adb200bfb366_9366/Terrex_MYSHELTER_Snow_2-Layer_Insulated_Jacket_Purple_GV4023_HM4.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/046686ff619c4178b616adb200c05c6a_9366/Terrex_MYSHELTER_Snow_2-Layer_Insulated_Jacket_Purple_GV4023_HM5.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/1c5259b1a7894626bd03adb200c07fd2_9366/Terrex_MYSHELTER_Snow_2-Layer_Insulated_Jacket_Purple_GV4023_HM6.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/c30fb559f4f240609ff1adb200c09fea_9366/Terrex_MYSHELTER_Snow_2-Layer_Insulated_Jacket_Purple_GV4023_HM7.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/4400028fa1d04f48a13badb200c0c026_9366/Terrex_MYSHELTER_Snow_2-Layer_Insulated_Jacket_Purple_GV4023_HM8.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/943b17105e934706ad33adb200c0daf7_9366/Terrex_MYSHELTER_Snow_2-Layer_Insulated_Jacket_Purple_GV4023_HM9.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/c6b86adba5074f2b8719adb200bf6c46_9366/Terrex_MYSHELTER_Snow_2-Layer_Insulated_Jacket_Purple_GV4023_HM10.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/98768d8815914b63bb22adb200bf8b2c_9366/Terrex_MYSHELTER_Snow_2-Layer_Insulated_Jacket_Purple_GV4023_HM11.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/1f19798db5324cfda500adbb008d8edc_9366/Terrex_MYSHELTER_Snow_2-Layer_Insulated_Jacket_Purple_GV4023_HM30.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/7fa2e9bf546d4ba7bb22adb200bf4d07_9366/Terrex_MYSHELTER_Snow_2-Layer_Insulated_Jacket_Purple_GV4023_HM1.jpg"
2,https://www.adidas.com/us/men,MEN'S NEW ARRIVALS,ESSENTIALS DOWN JACKET,$90 ,"Little compares to the lightweight warmth of down. Zip up the adidas Essentials Down Jacket and experience it for yourself. Down baffles seal in the heat, and classic 3-Stripes style keeps it street ready. It's made of recycled materials, one important step toward reducing environmental impact.","S,M,L,XL,2XL",Focus Olive,"https://assets.adidas.com/images/w_600,f_auto,q_auto/856162f3b2bc4071a58fad3700e9383b_9366/Essentials_Down_Jacket_Green_GT9168_43_detail.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/d1ebfdd0ed6944608382ad3700e90706_9366/Essentials_Down_Jacket_Green_GT9168_21_model.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/633285e3e6e04f3aaacead3700e90fcb_9366/Essentials_Down_Jacket_Green_GT9168_22_model.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/5cd177e2fc224d63869ead3700e918ab_9366/Essentials_Down_Jacket_Green_GT9168_23_hover_model.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/d2887109e2594558a63fad3700a52949_9366/Essentials_Down_Jacket_Green_GT9168_25_model.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/25b291b8cabb4729bf1fad2700eb5869_9366/Essentials_Down_Jacket_Green_GT9168_01_laydown.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/3e70031133394b90b75fad3700e92295_9366/Essentials_Down_Jacket_Green_GT9168_41_detail.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/4df0860ff71a49349b8dad3700e92f2f_9366/Essentials_Down_Jacket_Green_GT9168_42_detail.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/856162f3b2bc4071a58fad3700e9383b_9366/Essentials_Down_Jacket_Green_GT9168_43_detail.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/d1ebfdd0ed6944608382ad3700e90706_9366/Essentials_Down_Jacket_Green_GT9168_21_model.jpg"
3,https://www.adidas.com/us/men,MEN'S NEW ARRIVALS,TREFOIL A33 TEE,$35 ,A full embrace of alien conspiracies and desert psychedelic vibes. That's what you get with this t-shirt. The bold cactus print on the back nods to those hidden mysteries that definitely don't — but maybe just might — exist. The oval logo on the front takes its cues from old adidas catalogues.,"XS,S,M,L,XL,2XL",Orbit Green,"https://assets.adidas.com/images/w_600,f_auto,q_auto/9c2112ca33c94610a94cad92013cf662_9366/Trefoil_A33_Tee_Green_HI5274_42_detail.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/3d9c0a0f8c5348248387ad92013cad3b_9366/Trefoil_A33_Tee_Green_HI5274_21_model.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/b856bcf94f15491da8bbad92013cbb10_9366/Trefoil_A33_Tee_Green_HI5274_23_hover_model.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/bda99f21c678457f8ebfad92013cca86_9366/Trefoil_A33_Tee_Green_HI5274_25_model.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/a891407885f44eb584f5ad92013d1589_9366/Trefoil_A33_Tee_Green_HI5274_01_laydown.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/443fbb98f2704b3cb6e3ad92013ce18e_9366/Trefoil_A33_Tee_Green_HI5274_41_detail.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/9c2112ca33c94610a94cad92013cf662_9366/Trefoil_A33_Tee_Green_HI5274_42_detail.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/3d9c0a0f8c5348248387ad92013cad3b_9366/Trefoil_A33_Tee_Green_HI5274_21_model.jpg"
4,https://www.adidas.com/us/men,MEN'S NEW ARRIVALS,TREFOIL A33 SWEAT PANTS,$60 ,"Laid-back, casual ease is synonymous with the world of skate culture, and these sweat pants capture that exact attitude. With their soft French terry build, they're all about comfort. An expressive graphic adds a certain pop, with inspiration from the adidas archives.","XS,S,M,L,XL,2XL",Orbit Green,"https://assets.adidas.com/images/w_600,f_auto,q_auto/2293d4c98b2b4ceebafaad8e013a22a5_9366/Trefoil_A33_Sweat_Pants_Green_HI5270_42_detail.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/a6c15fb43abf49638c6fad8e0139c4b8_9366/Trefoil_A33_Sweat_Pants_Green_HI5270_21_model.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/f15dc536ac8342c8894cad8e0139d947_9366/Trefoil_A33_Sweat_Pants_Green_HI5270_23_hover_model.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/88d3387e350f450ca976ad8e0139ed69_9366/Trefoil_A33_Sweat_Pants_Green_HI5270_25_model.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/7f058b1e5e9a44deae9dad8e013a3a73_9366/Trefoil_A33_Sweat_Pants_Green_HI5270_01_laydown.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/4f845cdd159b45679793ad8e013a08a9_9366/Trefoil_A33_Sweat_Pants_Green_HI5270_41_detail.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/2293d4c98b2b4ceebafaad8e013a22a5_9366/Trefoil_A33_Sweat_Pants_Green_HI5270_42_detail.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/a6c15fb43abf49638c6fad8e0139c4b8_9366/Trefoil_A33_Sweat_Pants_Green_HI5270_21_model.jpg"
5,https://www.adidas.com/us/men,MEN'S NEW ARRIVALS,TREFOIL A33 SWEAT PANTS,$60 ,"Laid-back, casual ease is synonymous with the world of skate culture, and these sweat pants capture that exact attitude. With their soft French terry build, they're all about comfort. An expressive graphic adds a certain pop, with inspiration from the adidas archives.","XS,S,M,L,XL,2XL",Auburn,"https://assets.adidas.com/images/w_600,f_auto,q_auto/1959ba34fa394efb8c5cad8e00ca5cf1_9366/Trefoil_A33_Sweat_Pants_Brown_HI5268_42_detail.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/d073cc0519dd434fb46fad8e00ca0b45_9366/Trefoil_A33_Sweat_Pants_Brown_HI5268_21_model.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/3a502f1e90cb49bd954cad8e00ca18b5_9366/Trefoil_A33_Sweat_Pants_Brown_HI5268_23_hover_model.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/e9390c336d974cba90ebad8e00ca287e_9366/Trefoil_A33_Sweat_Pants_Brown_HI5268_25_model.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/eda18b22a6b14f528ee2ad8e00ca73bd_9366/Trefoil_A33_Sweat_Pants_Brown_HI5268_01_laydown.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/b74425d93fbb4791ba5aad8e00ca42d9_9366/Trefoil_A33_Sweat_Pants_Brown_HI5268_41_detail.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/1959ba34fa394efb8c5cad8e00ca5cf1_9366/Trefoil_A33_Sweat_Pants_Brown_HI5268_42_detail.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/d073cc0519dd434fb46fad8e00ca0b45_9366/Trefoil_A33_Sweat_Pants_Brown_HI5268_21_model.jpg"
6,https://www.adidas.com/us/men,MEN'S NEW ARRIVALS,TREFOIL A33 JACKET,$120 ,"A full embrace of alien conspiracies and desert psychedelic vibes. That's what you get with this adidas jacket. Cactus prints take over the whole look, a nod to those hidden facilities that definitely don't — but maybe just might — exist.","S,M,L,XL,2XL",null,"https://assets.adidas.com/images/w_600,f_auto,q_auto/84dd30059e5748f2bda5ad8e01396d84_9366/Trefoil_A33_Jacket_Multicolor_HI5267_42_detail.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/5d2f2abea5b240ec9592ad8e01391bd3_9366/Trefoil_A33_Jacket_Multicolor_HI5267_21_model.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/8c4223d74041481ca827ad8e01392c18_9366/Trefoil_A33_Jacket_Multicolor_HI5267_23_hover_model.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/ad45c2894ed04f8da967ad8e01393a06_9366/Trefoil_A33_Jacket_Multicolor_HI5267_25_model.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/7e5c394206f046c7b02fad8e0139920d_9366/Trefoil_A33_Jacket_Multicolor_HI5267_01_laydown.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/901c836edd4742a8a0d9ad8e0139530a_9366/Trefoil_A33_Jacket_Multicolor_HI5267_41_detail.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/84dd30059e5748f2bda5ad8e01396d84_9366/Trefoil_A33_Jacket_Multicolor_HI5267_42_detail.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/5d2f2abea5b240ec9592ad8e01391bd3_9366/Trefoil_A33_Jacket_Multicolor_HI5267_21_model.jpg"
7,https://www.adidas.com/us/men,MEN'S NEW ARRIVALS,TREFOIL A33 HOODIE,$70 ,"Laid-back, casual ease is synonymous with the world of skate culture, and this hoodie captures that exact attitude. With its soft French terry build, the pullover is all about comfort. An expressive graphic adds a certain pop, with inspiration from the adidas archives.","XS,S,M,L,XL,2XL",Orbit Green,"https://assets.adidas.com/images/w_600,f_auto,q_auto/fb278dead3544d219119ad8e0138cbbe_9366/Trefoil_A33_Hoodie_Green_HI5266_42_detail.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/13ec959ad9fb477daaedad8e01387e0b_9366/Trefoil_A33_Hoodie_Green_HI5266_21_model.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/57dcb1431c2c47859cf4ad8e01388ce8_9366/Trefoil_A33_Hoodie_Green_HI5266_23_hover_model.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/d33b97ed1b3649dc82faad8e013898ee_9366/Trefoil_A33_Hoodie_Green_HI5266_25_model.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/9115fe8a5f604b88ba66ad8e0138ecd4_9366/Trefoil_A33_Hoodie_Green_HI5266_01_laydown.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/32ca9a7e7b0c46f082abad8e0138b35e_9366/Trefoil_A33_Hoodie_Green_HI5266_41_detail.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/fb278dead3544d219119ad8e0138cbbe_9366/Trefoil_A33_Hoodie_Green_HI5266_42_detail.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/13ec959ad9fb477daaedad8e01387e0b_9366/Trefoil_A33_Hoodie_Green_HI5266_21_model.jpg"
8,https://www.adidas.com/us/men,MEN'S NEW ARRIVALS,TREFOIL A33 JACKET,$100 ,"There's no question that skate culture is a mix of ease and edge — in attitude and style. That simultaneously bold and laid-back aesthetic gets distilled into this adidas jacket. The green exterior has an unassuming side, with a purple interior for an unexpected pop.","XS,S,M,L,XL,2XL",null,"https://assets.adidas.com/images/w_600,f_auto,q_auto/d0b3337c984b4e68a5d7ad8600f3a220_9366/Trefoil_A33_Jacket_Green_HI5263_42_detail.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/e887885438e94a08b41cad8600f382ac_9366/Trefoil_A33_Jacket_Green_HI5263_21_model.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/dc7855763f254ce8b6b1ad8600f389d7_9366/Trefoil_A33_Jacket_Green_HI5263_23_hover_model.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/acfc523bca8044ea8a7fad8600f39151_9366/Trefoil_A33_Jacket_Green_HI5263_25_model.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/559611c2e9254286a64ead8600f3b098_9366/Trefoil_A33_Jacket_Green_HI5263_01_laydown.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/f0224a9fce9a4e6db023ad8600f39a00_9366/Trefoil_A33_Jacket_Green_HI5263_41_detail.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/d0b3337c984b4e68a5d7ad8600f3a220_9366/Trefoil_A33_Jacket_Green_HI5263_42_detail.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/e887885438e94a08b41cad8600f382ac_9366/Trefoil_A33_Jacket_Green_HI5263_21_model.jpg"
9,https://www.adidas.com/us/men,MEN'S NEW ARRIVALS,OZELIA SHOES,$100 ,"The '90s were loud, experimental and unafraid. Just like these adidas Ozelia shoes. Lace in and let your inner confidence unleash as you stride through the day on shock-absorbent Adiprene cushioning. The sleek, futuristic style looks fast. But you'll want to stroll slow enough to really show them off.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.","5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,14",Grey Four / Grey Three / Core Black,"https://assets.adidas.com/images/w_600,f_auto,q_auto/98f2504559c84d5ea72cad6000fcb3a0_9366/Ozelia_Shoes_Grey_H04253_43_detail.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/fa880e1b74a947af8f14ad6000edc7f3_9366/Ozelia_Shoes_Grey_H04253_01_standard.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/aabb47c367fc40aeb9adad6000edf398_9366/Ozelia_Shoes_Grey_H04253_012_hover_standard.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/890b33924301408a9b8fad6000edd726_9366/Ozelia_Shoes_Grey_H04253_02_standard.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/cf4097abcca14fa2bbeaad6000eddeb0_9366/Ozelia_Shoes_Grey_H04253_03_standard.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/96fb2313424a44a8a4cdad6000ede551_9366/Ozelia_Shoes_Grey_H04253_04_standard.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/346c8c8b84eb4680947aad6000eded9d_9366/Ozelia_Shoes_Grey_H04253_05_standard.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/caf9c049688b4b019dcfad6000edd021_9366/Ozelia_Shoes_Grey_H04253_06_standard.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/4a37bd5110294700a8afad6000ee0bec_9366/Ozelia_Shoes_Grey_H04253_09_standard.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/7dc4afedf3424beb990aad6000edfad0_9366/Ozelia_Shoes_Grey_H04253_41_detail.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/9d25d228a3394ef7aa3ead6000ee00d1_9366/Ozelia_Shoes_Grey_H04253_42_detail.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/98f2504559c84d5ea72cad6000fcb3a0_9366/Ozelia_Shoes_Grey_H04253_43_detail.jpg|https://assets.adidas.com/images/w_600,f_auto,q_auto/fa880e1b74a947af8f14ad6000edc7f3_9366/Ozelia_Shoes_Grey_H04253_01_standard.jpg"
